City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
67,East London,0,ZA,2022-07-16 22:09:33,39,-33.0153,27.9116,65.43,7.54
68,Lebu,100,CL,2022-07-16 22:09:33,73,-37.6167,-73.65,48.22,15.9
69,Katsuura,100,JP,2022-07-16 22:09:33,94,35.1333,140.3,73.09,18.1
70,Mataura,100,NZ,2022-07-16 22:09:34,78,-46.1927,168.8643,46.47,4.03
71,Cape Town,55,ZA,2022-07-16 22:08:44,44,-33.9258,18.4232,66.38,3.0
72,Yefremov,100,RU,2022-07-16 22:09:34,66,53.1481,38.0992,62.42,1.66
73,Bethel,0,US,2022-07-16 22:08:38,74,41.3712,-73.414,79.65,6.91
74,Sladkovo,2,RU,2022-07-16 22:09:35,93,55.5284,70.3385,57.6,7.25
75,Bonthe,87,SL,2022-07-16 22:09:35,86,7.5264,-12.505,77.09,9.06
76,Port Lincoln,24,AU,2022-07-16 22:09:35,74,-34.7333,135.8667,55.96,18.7
77,Fomboni,6,KM,2022-07-16 22:09:36,71,-12.28,43.7425,76.01,11.7
78,Nikolskoye,40,RU,2022-07-16 22:09:36,89,59.7035,30.7861,54.81,4.92
79,Hobyo,82,SO,2022-07-16 22:09:36,72,5.3505,48.5268,76.66,30.06
80,Guerrero Negro,85,MX,2022-07-16 22:09:37,54,27.9769,-114.0611,77.23,16.46
81,Tasiilaq,98,GL,2022-07-16 22:09:37,66,65.6145,-37.6368,48.36,1.95
82,Yerbogachen,100,RU,2022-07-16 22:09:37,76,61.2767,108.0108,56.93,2.75
83,Cabo San Lucas,20,MX,2022-07-16 22:09:38,39,22.8909,-109.9124,94.6,10.36
84,Sampit,100,ID,2022-07-16 22:09:38,99,-2.5333,112.95,73.54,4.07
85,Bengkulu,97,ID,2022-07-16 22:09:38,86,-3.8004,102.2655,75.16,3.71
86,Hithadhoo,54,MV,2022-07-16 22:09:39,78,-0.6,73.0833,82.63,14.74
87,Pisco,5,PE,2022-07-16 22:09:39,72,-13.7,-76.2167,65.01,10.36
88,Nalut,0,LY,2022-07-16 22:09:39,18,30.3333,10.85,84.81,8.23
89,Yellowknife,24,CA,2022-07-16 22:05:25,50,62.456,-114.3525,68.67,6.4
90,Jamestown,20,US,2022-07-16 22:08:00,48,42.097,-79.2353,80.24,11.5
91,Pevek,100,RU,2022-07-16 22:09:40,93,69.7008,170.3133,36.23,4.83
92,Kudinovo,96,RU,2022-07-16 22:09:40,87,54.9994,36.2533,53.37,4.65
93,Lufilufi,37,WS,2022-07-16 22:09:41,67,-13.8745,-171.5986,83.98,21.83
94,Torbay,31,CA,2022-07-16 22:10:41,61,47.6666,-52.7314,71.76,15.35
95,Kang,0,BW,2022-07-16 22:10:41,50,-23.6752,22.7876,52.32,6.98
96,Itarema,9,BR,2022-07-16 22:07:46,80,-2.9248,-39.9167,79.14,15.19
97,Dikson,38,RU,2022-07-16 22:10:42,69,73.5069,80.5464,47.66,7.18
98,Faanui,71,PF,2022-07-16 22:10:42,66,-16.4833,-151.75,77.04,24.94
99,Buchanan,99,LR,2022-07-16 22:10:42,86,5.8808,-10.0467,76.21,10.2
100,Baykit,48,RU,2022-07-16 22:10:43,95,61.67,96.37,51.51,1.83
101,Lasa,0,IT,2022-07-16 22:10:43,82,46.6166,10.7002,62.53,4.92
102,Tahta,1,EG,2022-07-16 22:10:43,33,26.7693,31.5021,80.56,7.54
103,Tabou,100,CI,2022-07-16 22:10:13,85,4.423,-7.3528,75.51,10.2
104,Avarua,75,CK,2022-07-16 22:10:44,73,-21.2078,-159.775,77.05,21.85
105,Imbituba,100,BR,2022-07-16 22:08:46,92,-28.24,-48.6703,67.86,5.01
106,Soe,77,ID,2022-07-16 22:10:44,91,-9.8607,124.284,61.75,4.38
107,Lompoc,0,US,2022-07-16 22:09:04,65,34.6391,-120.4579,80.85,16.11
108,Kaeo,5,NZ,2022-07-16 22:10:45,93,-35.1,173.7833,53.33,3.36
109,Makakilo City,100,US,2022-07-16 22:10:45,65,21.3469,-158.0858,82.72,20.71
