City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.86,50,59,1.57,broken clouds
81,Hermanus,ZA,-34.4187,19.2345,52.81,81,99,4.79,overcast clouds
82,Hobart,AU,-42.8794,147.3294,49.26,78,75,8.05,broken clouds
83,Kuito,AO,-12.3833,16.9333,47.84,54,1,1.32,clear sky
84,Chaman,PK,30.9236,66.4512,84.6,46,4,4.38,clear sky
85,Tasiilaq,GL,65.6145,-37.6368,35.76,86,13,0.87,few clouds
86,Fortuna,US,40.5982,-124.1573,65.86,73,7,1.99,clear sky
87,Hohhot,CN,40.8106,111.6522,81.82,23,100,0.67,overcast clouds
88,Barranca,PE,-10.75,-77.7667,61.14,85,93,8.81,overcast clouds
89,Brae,GB,60.3964,-1.353,56.03,94,100,11.68,overcast clouds
90,Salta,AR,-24.7859,-65.4117,46.58,63,0,1.99,clear sky
91,Preobrazheniye,RU,42.9019,133.9064,70.84,76,51,5.35,broken clouds
92,Ust-Nera,RU,64.5667,143.2,81.25,49,100,8.23,overcast clouds
93,Clarence Town,AU,-32.5833,151.7833,57.85,92,100,3.94,overcast clouds
94,Savinka,RU,50.0785,47.0994,61.16,67,0,7.9,clear sky
95,Bethel,US,41.3712,-73.414,76.05,92,100,4.61,mist
96,Saldanha,ZA,-33.0117,17.9442,55.51,75,0,11.9,clear sky
97,Nantucket,US,41.2835,-70.0995,75.99,94,100,12.66,mist
98,Nuevitas,CU,21.5453,-77.2644,80.11,84,2,13.06,clear sky
99,Baghdad,IQ,33.3406,44.4009,84.11,28,0,5.75,clear sky
100,Sauce,UY,-34.6469,-56.0628,42.42,79,84,3.18,broken clouds
101,Morondava,MG,-20.2833,44.2833,69.15,55,0,13.18,clear sky
102,Hit,IQ,33.6416,42.8251,90.79,17,0,7.56,clear sky
103,Cidreira,BR,-30.1811,-50.2056,54.84,92,4,4.45,clear sky
104,Emet,TR,39.343,29.2585,51.84,71,0,5.5,clear sky
105,Bend,US,44.0582,-121.3153,82.26,23,0,5.99,clear sky
106,Ailigandi,PA,9.2333,-78.0167,80.22,87,25,2.24,scattered clouds
107,Ostrovnoy,RU,68.0531,39.5131,55.78,81,45,5.44,scattered clouds
108,Kyren,RU,51.6828,102.1408,60.22,96,100,3.15,overcast clouds
109,Malanje,AO,-9.5402,16.341,60.71,83,3,3.89,clear sky
