City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Miyako,JP,76.86,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
218,Grafton,US,75.15,overcast clouds,42.207,-71.6856,The Grafton Inn
219,Tautira,PF,76.39,light rain,-17.7333,-149.15,Pension Oaoa
224,Arroyo,ES,74.59,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
226,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
228,Belmonte,BR,72.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
230,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
238,Kavaratti,IN,80.73,overcast clouds,10.5669,72.642,Green leaf
239,Pringsewu,ID,80.83,few clouds,-5.3582,104.9744,Urban Style by Front One
245,Labrea,BR,78.58,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
248,Eastleigh,GB,75.88,clear sky,50.9667,-1.35,Premier Inn Southampton Airport hotel
251,Padang,ID,80.65,clear sky,-0.9492,100.3543,Mercure Padang
256,Piacabucu,BR,73.47,few clouds,-10.4056,-36.4344,Piaçabuçu News
259,Awjilah,LY,77.97,clear sky,29.1081,21.2869,المنزل
267,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
268,Mattru,SL,72.64,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
274,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
275,Grand-Lahou,CI,75.22,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
276,Carman,CA,76.89,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
277,Samarai,PG,81.21,scattered clouds,-10.6167,150.6667,Nuli Sapi
280,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
282,Killam,CA,71.55,overcast clouds,52.7834,-111.8518,Wagon Wheel Motel
286,Broome,US,72.7,overcast clouds,42.2506,-75.833,Chenango Valley State Park
289,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
290,High Level,CA,78.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
296,Mandalgovi,MN,77.05,overcast clouds,45.7625,106.2708,В.Ганбат
297,Dandong,CN,79.97,clear sky,40.1292,124.3947,Yiranju Farmstay
300,Lorengau,PG,82.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
302,Millau,FR,78.93,clear sky,44.0833,2.9167,La Villa Des Raspes
304,Kahta,TR,79.97,clear sky,37.7855,38.6237,KommageneİZ Hotel
305,Ibra,OM,81.59,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
307,Soe,ID,72.03,overcast clouds,-9.8607,124.284,Dena Hotel
309,Jasper,US,83.88,clear sky,37.2001,-94.3502,Guest House Motel
313,La Ronge,CA,80.82,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
314,Dawson Creek,CA,73.04,few clouds,55.7666,-120.2362,Peace Villa Motel
318,Faanui,PF,76.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
319,Ortona,IT,73.15,few clouds,42.3496,14.4039,La Casa del Palombaro
324,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
327,Cefalu,IT,82.54,clear sky,38.0386,14.0229,Hotel La Giara
329,Trinidad,BO,72.84,clear sky,-14.8333,-64.9,Hotel Piesta
332,Muisne,EC,73.47,overcast clouds,0.6,-80.0333,Quinta Samay
333,Shingu,JP,81.57,light rain,33.7333,135.9833,Shingu UI Hotel
334,Ulaanbaatar,MN,77.13,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
338,Dwarka,IN,81.84,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
340,Hambantota,LK,81.03,overcast clouds,6.1241,81.1185,Bungalow 63
342,Iwanai,JP,78.3,broken clouds,42.9744,140.5089,いわない高原ホテル
343,Mogadishu,SO,75.38,broken clouds,2.0371,45.3438,Hotel Juba
349,Chifeng,CN,78.4,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
351,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
353,Asyut,EG,82.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
355,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
357,Tual,ID,79.93,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
358,Ambulu,ID,80.56,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
359,Daru,PG,78.6,broken clouds,-9.0763,143.2092,Daru Lodge
360,Tabou,CI,74.37,light rain,4.423,-7.3528,hotêl doufoulougou
364,Meulaboh,ID,79.88,broken clouds,4.1363,96.1285,Kost Pria
